timestamp,line_id,attempt,stage,model,input_tokens,output_tokens,cost_usd,note
2026-08-20T22:54:14.604055+00:00,tone_locked_door,0,generate,offline/generator,0,0,0.000000,authored offline by Claude during development; not a metered API call
2026-08-20T22:54:14.604296+00:00,tone_locked_door,1,refine_deterministic,offline/refiner,0,0,0.000000,authored offline by Claude during development; not a metered API call
2026-08-20T22:54:14.604452+00:00,tone_locked_door,2,evaluate,offline/evaluator,0,0,0.000000,authored offline by Claude during development; not a metered API call
2026-08-20T22:54:14.604655+00:00,tone_locked_door,2,refine_evaluated,offline/refiner,0,0,0.000000,authored offline by Claude during development; not a metered API call
2026-08-20T22:54:14.604960+00:00,tone_locked_door,3,evaluate,offline/evaluator,0,0,0.000000,authored offline by Claude during development; not a metered API call
2026-08-20T22:54:14.605354+00:00,vocab_supplies,0,generate,offline/generator,0,0,0.000000,authored offline by Claude during development; not a metered API call
2026-08-20T22:54:14.605530+00:00,vocab_supplies,1,refine_deterministic,offline/refiner,0,0,0.000000,authored offline by Claude during development; not a metered API call
2026-08-20T22:54:14.605656+00:00,vocab_supplies,2,evaluate,offline/evaluator,0,0,0.000000,authored offline by Claude during development; not a metered API call
2026-08-20T22:54:14.606044+00:00,format_mine_entrance,0,generate,offline/generator,0,0,0.000000,authored offline by Claude during development; not a metered API call
2026-08-20T22:54:14.606270+00:00,format_mine_entrance,1,refine_deterministic,offline/refiner,0,0,0.000000,authored offline by Claude during development; not a metered API call
2026-08-20T22:54:14.606439+00:00,format_mine_entrance,2,evaluate,offline/evaluator,0,0,0.000000,authored offline by Claude during development; not a metered API call
