timestamp,line_id,attempt,stage,model,input_tokens,output_tokens,cost_usd,note
2026-08-20T22:47:09.183419+00:00,tone_locked_door,0,generate,offline/generator,0,0,0.000000,authored offline by Claude during development; not a metered API call
2026-08-20T22:47:09.183632+00:00,tone_locked_door,1,refine_deterministic,offline/refiner,0,0,0.000000,authored offline by Claude during development; not a metered API call
2026-08-20T22:47:09.183931+00:00,tone_locked_door,2,evaluate,offline/evaluator,0,0,0.000000,authored offline by Claude during development; not a metered API call
2026-08-20T22:47:09.184111+00:00,tone_locked_door,2,refine_evaluated,offline/refiner,0,0,0.000000,authored offline by Claude during development; not a metered API call
2026-08-20T22:47:09.184401+00:00,tone_locked_door,3,evaluate,offline/evaluator,0,0,0.000000,authored offline by Claude during development; not a metered API call
2026-08-20T22:47:09.184907+00:00,vocab_supplies,0,generate,offline/generator,0,0,0.000000,authored offline by Claude during development; not a metered API call
2026-08-20T22:47:09.185064+00:00,vocab_supplies,1,refine_deterministic,offline/refiner,0,0,0.000000,authored offline by Claude during development; not a metered API call
2026-08-20T22:47:09.185188+00:00,vocab_supplies,2,evaluate,offline/evaluator,0,0,0.000000,authored offline by Claude during development; not a metered API call
2026-08-20T22:47:09.185568+00:00,format_mine_entrance,0,generate,offline/generator,0,0,0.000000,authored offline by Claude during development; not a metered API call
2026-08-20T22:47:09.185702+00:00,format_mine_entrance,1,refine_deterministic,offline/refiner,0,0,0.000000,authored offline by Claude during development; not a metered API call
2026-08-20T22:47:09.185818+00:00,format_mine_entrance,2,evaluate,offline/evaluator,0,0,0.000000,authored offline by Claude during development; not a metered API call
2026-08-20T22:47:09.186287+00:00,circuit_breaker_demo,0,generate,offline/generator,0,0,0.000000,authored offline by Claude during development; not a metered API call
2026-08-20T22:47:09.186494+00:00,circuit_breaker_demo,1,refine_deterministic,offline/refiner,0,0,0.000000,authored offline by Claude during development; not a metered API call
2026-08-20T22:47:09.186625+00:00,circuit_breaker_demo,2,evaluate,offline/evaluator,0,0,0.000000,authored offline by Claude during development; not a metered API call
2026-08-20T22:47:09.186734+00:00,circuit_breaker_demo,2,refine_evaluated,offline/refiner,0,0,0.000000,authored offline by Claude during development; not a metered API call
2026-08-20T22:47:09.186846+00:00,circuit_breaker_demo,3,evaluate,offline/evaluator,0,0,0.000000,authored offline by Claude during development; not a metered API call
2026-08-20T22:47:09.186948+00:00,circuit_breaker_demo,3,refine_evaluated,offline/refiner,0,0,0.000000,authored offline by Claude during development; not a metered API call
